[2017-08-12 13:34:10] <Sedat Gokcen> [Tweet] https://twitter.com/lightbend/status/896136923965571073
[2017-08-13 07:40:16] <Sedat Gokcen> [Tweet] https://twitter.com/dret/status/896575149511647232
[2017-08-14 19:23:30] <Sedat Gokcen> [Tweet] https://twitter.com/hypersistence/status/897088170302599168
[2017-08-15 07:14:51] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/897315414719381509
[2017-08-16 14:40:56] <Sedat Gokcen> [Tweet] https://twitter.com/javacodegeeks/status/897791259414114306
[2017-08-16 17:50:54] <Sedat Gokcen> [Tweet] https://twitter.com/almeidajava/status/897841538222489600
[2017-08-17 18:53:07] <Sedat Gokcen> [Tweet] https://twitter.com/smarr/status/898196803157463040
[2017-08-17 19:06:59] <Sedat Gokcen> [Tweet] https://twitter.com/JavaOOQ/status/898099634308079617
[2017-08-20 10:49:59] <Sedat Gokcen> [Tweet] https://twitter.com/petrikainulaine/status/899171452926275584
[2017-08-21 17:20:31] <Sedat Gokcen> [Tweet] https://twitter.com/newsycombinator/status/899572108665262081
[2017-08-21 18:59:06] <Sedat Gokcen> [Tweet] https://twitter.com/sarah_edo/status/899505438122622976
[2017-08-22 09:04:00] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/898966796056776705
[2017-08-26 09:59:57] <Sedat Gokcen> [Tweet] https://twitter.com/olivergierke/status/901090979792527364
[2017-08-26 14:10:33] <Sedat Gokcen> [Tweet] https://twitter.com/oss_java/status/901414653238157313
[2017-08-26 17:21:20] <Sedat Gokcen> [Tweet] https://twitter.com/s1p/status/901118561413988352
[2017-08-28 09:29:07] <Sedat Gokcen> https://twitter.com/Kimbilirg/status/879132431743320064
[2017-08-28 22:56:07] <Sedat Gokcen> [Tweet] https://twitter.com/simas_ch/status/902249044541661184
[2017-08-28 23:00:01] <Sedat Gokcen> [Tweet] https://twitter.com/james_a_forbes/status/902185066591166464
[2017-08-29 09:06:36] <Sedat Gokcen> [Tweet] https://twitter.com/lamitpobus/status/899507626341486592
[2017-08-29 19:16:33] <Sedat Gokcen> [Tweet] https://twitter.com/DevoxxUK/status/902569148080848897
[2017-08-29 19:20:52] <Sedat Gokcen> [Tweet] https://twitter.com/RafaDelNero/status/902576801419063296
[2017-08-30 13:04:00] <Sedat Gokcen> [Tweet] https://twitter.com/newsycombinator/status/902848750988787713
[2017-08-30 13:33:45] <Sedat Gokcen> [Tweet] https://twitter.com/vlad_mihalcea/status/902855532742103040
[2017-08-31 00:19:26] <Sedat Gokcen> [Tweet] https://twitter.com/medikoo/status/902979898763087873
[2017-08-31 10:55:31] <Sedat Gokcen> [Tweet] https://twitter.com/holtbt/status/902944800621568000
[2017-08-31 12:48:49] <Sedat Gokcen> [Tweet] https://twitter.com/rauchg/status/902987358471053312
[2017-08-31 23:43:03] <Sedat Gokcen> https://twitter.com/showsitesi_net/status/897074942881271808
[2017-09-01 01:51:23] <Sedat Gokcen> [Tweet] https://twitter.com/jedisct1/status/836965151156940800
[2017-09-01 08:08:22] <Sedat Gokcen> [Tweet] https://twitter.com/AdamRackis/status/903418240579379202
[2017-09-02 10:34:16] <Sedat Gokcen> [Tweet] https://twitter.com/metanet/status/903892765226012676
[2017-09-03 16:43:46] <Sedat Gokcen> [Tweet] https://twitter.com/dermaysta/status/904351933539942404
[2017-09-05 01:42:14] <Sedat Gokcen> https://twitter.com/Eflatun216/status/897441316132487168
[2017-09-05 12:42:52] <Sedat Gokcen> [Tweet] https://twitter.com/juanantoniobm/status/899915258864783362
[2017-09-05 12:45:00] <Sedat Gokcen> [Tweet] https://twitter.com/petrikainulaine/status/905016071110975488
[2017-09-06 18:06:21] <Sedat Gokcen> [Tweet] https://twitter.com/mosesbread72/status/905430701595652096
[2017-09-06 18:47:56] <Sedat Gokcen> [Tweet] https://twitter.com/mreinhold/status/905444853076566016
[2017-09-06 18:51:34] <Sedat Gokcen> [Tweet] https://twitter.com/myfear/status/905469905780310016
[2017-09-07 01:33:06] <Sedat Gokcen> [Tweet] https://twitter.com/PieterHumphrey/status/905568574835630080
[2017-09-07 10:16:05] <Sedat Gokcen> [Tweet] https://twitter.com/ryanflorence/status/905574498400845825
[2017-09-07 20:30:48] <Sedat Gokcen> [Tweet] https://twitter.com/ztellman/status/905169348062572544
[2017-09-07 20:34:19] <Sedat Gokcen> [Tweet] https://twitter.com/russmiles/status/905839016540602369
[2017-09-08 14:47:33] <Sedat Gokcen> [Tweet] https://twitter.com/java/status/906126221443870720
[2017-09-09 11:44:35] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/906231954466623489
[2017-09-09 13:09:45] <Sedat Gokcen> [Tweet] https://twitter.com/james_k_nelson/status/906324604511125504
[2017-09-11 09:15:09] <Sedat Gokcen> [Tweet] https://twitter.com/souporserious/status/906306799409676288
[2017-09-11 19:33:28] <Sedat Gokcen> [Tweet] https://twitter.com/akarnokd/status/907254572590272513
[2017-09-12 18:43:10] <Sedat Gokcen> [Tweet] https://twitter.com/vlad_mihalcea/status/907641184855773190
[2017-09-13 12:00:17] <Sedat Gokcen> [Tweet] https://twitter.com/vlad_mihalcea/status/907898570078085123
[2017-09-13 20:00:48] <Sedat Gokcen> [Tweet] https://twitter.com/OliverMilke/status/907901938066436096
[2017-09-13 20:01:18] <Sedat Gokcen> [Tweet] https://twitter.com/banruh/status/908017225109577728
[2017-09-14 12:46:02] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/851101637645094912
[2017-09-14 12:50:56] <Sedat Gokcen> [Tweet] https://twitter.com/brucel/status/908021799404875777
[2017-09-14 17:24:45] <Sedat Gokcen> [Tweet] https://twitter.com/ThePracticalDev/status/908348372536446977
[2017-09-14 19:24:21] <Sedat Gokcen> [Tweet] https://twitter.com/james_k_nelson/status/906324604511125504
[2017-09-15 09:14:47] <Sedat Gokcen> [Tweet] https://twitter.com/lakamsani/status/908557025260351488
[2017-09-16 03:36:16] <Sedat Gokcen> https://twitter.com/hayriblock/status/908803455107682305
[2017-09-16 20:07:24] <Sedat Gokcen> [Tweet] https://twitter.com/bradvoth/status/909078401226559488
[2017-09-17 00:39:47] <Sedat Gokcen> [Tweet] https://twitter.com/r_arni/status/909164883303911425
